isin,fund,amfi,json,category,rta_code,amfi_code,type
INF090I01CQ7,Franklin India Government Securities Fund - Dividend Reinvestment,,Franklin India Government Securities Fund - Dividend Reinvestment,DEBT,64,100486,
INF090I01CR5,Franklin India Government Securities Fund - Growth,,Franklin India Government Securities Fund - Growth,DEBT,65,100485,
INF090I01CZ8,Franklin India Government Securities Fund - Treasury Plan - Dividend Payout,,Franklin India Government Securities Fund - Treasury Plan - Dividend Payout,DEBT,66,,
INF090I01DA9,Franklin India Government Securities Fund - Treasury Plan - Dividend Reinvestment,,Franklin India Government Securities Fund - Treasury Plan - Dividend Reinvestment,DEBT,66,,
INF090I01DB7,Franklin India Government Securities Fund - Treasury Plan - Growth,,Franklin India Government Securities Fund - Treasury Plan - Growth,DEBT,67,,
INF090I01CA1,Franklin India Savings Fund Retail Option - Growth,Franklin India Savings Fund - Growth Option,Franklin India Savings Fund Retail Option - Growth,DEBT,168,101357,payout/growth
INF090I01BA3,Franklin India Liquid Fund - Regular Plan - Daily Dividend Reinvestment,Franklin India Liquid Fund - Regular Plan - Daily - IDCW,Franklin India Liquid Fund - Regular Plan - Daily - IDCW - Reinvestment,DEBT,69,100541,reinvest
INF090I01296,Templeton India Value Fund - GROWTH,Templeton India Value Fund - Growth Plan,Templeton India Value Fund - Growth,EQUITY,170,100496,payout/growth
INF090I01247,Franklin India Dynamic P E Ratio Fund Of Funds - DIVIDEND PAYOUT,Franklin India Dynamic Asset Allocation Fund of funds - IDCW,Franklin India Dynamic Asset Allocation Fund Of Funds - IDCW - Payout,EQUITY,171,101657,payout/growth
INF090I01254,Franklin India Dynamic P E Ratio Fund Of Funds - DIVIDEND REINVESTMENT,Franklin India Dynamic Asset Allocation Fund of funds - IDCW,Franklin India Dynamic Asset Allocation Fund Of Funds - IDCW - Reinvestment,EQUITY,171,101657,reinvest
INF090I01262,Franklin India Dynamic P E Ratio Fund Of Funds - GROWTH,Franklin India Dynamic Asset Allocation Fund of Funds-Growth,Franklin India Dynamic Asset Allocation Fund Of Funds - Growth,EQUITY,172,101656,payout/growth
INF090I01577,Franklin India Life Stage Fund of Funds - 20's Plan - Dividend Payout,Franklin India Life Stage Fund of Funds - 20's Plan - IDCW,Franklin India Life Stage Fund Of Funds - 20'S Plan - IDCW - Payout,EQUITY,175,102108,payout/growth
INF090I01585,Franklin India Life Stage Fund of Funds - 20's Plan - Dividend Reinvestment,,Franklin India Life Stage Fund Of Funds - 20'S Plan - IDCW - Reinvestment,EQUITY,175,102108,
INF090I01593,Franklin India Life Stage Fund of Funds - 20's Plan - Growth,Franklin INDIA LIFE STAGE FUND OF FUNDS - THE 20S PLAN (G),Franklin India Life Stage Fund Of Funds - 20'S Plan - Growth,EQUITY,176,102107,payout/growth
INF090I01601,Franklin India Life Stage Fund of Funds - 30's Plan - Dividend Payout,Franklin India Life Stage Fund of Funds - 30's Plan - IDCW,Franklin India Life Stage Fund Of Funds - 30'S Plan - IDCW - Payout,EQUITY,177,102110,payout/growth
